query_id,bleu_GPT-5_instant,bleu_ClaudeSonnet-4.5,bleu_Llama-3.1_8B,bleu_Mistral_7B
0,0.45651808784297815,0.5603121050104662,0.28013480052281986,0.35220378100700717
1,0.3680093500002436,0.47209585937669213,0.22385795422345214,0.267226208886396
2,0.7193368248712462,0.7717977869915617,0.7447105773232379,0.6611892975180012
3,0.5047924857956014,0.6520231970564713,0.5436763700482233,0.5015624032774467
4,0.7020504835823227,0.7020504835823227,0.6075713194277571,0.5673092346778267
5,0.5959289016033693,0.6072499013257913,0.37777254626039064,0.42123989600377026
6,0.4703639275114042,0.6983222190044908,0.5037003774651908,0.427699903923877
7,0.2618640669431176,0.3291042304540517,0.13838034839621444,0.1696696846019381
8,0.6737793180104958,0.5563131484367057,0.3996324178312076,0.3670867472906785
Average,0.5280714940178642,0.5943632145820614,0.4243818568331659,0.4150207952429935
